Figure: large_1
File Number: 2
Nodes: 300
Edges: 22601
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.01
Colors Used: 189
Runtime: 9.07

Generation,Average Fitness,Best Fitness
0,121.91,99
1,117.15,91
2,113.21,91
3,112.26,90
4,110.29,90
5,108.32,90
6,105.92,89
7,105.75,88
8,103.11,82
9,98.44,82
10,95.78,79
11,92.58,76
12,90.73,75
13,88.38,75
14,86.54,75
15,84.32,74
16,83.64,66
17,82.07,66
18,80.67,66
19,78.72,65
20,77.6,65
21,75.85,63
22,75.14,63
23,75.11,62
24,74.66,62
25,74.5,62
26,72.72,60
27,71.45,60
28,70.21,60
29,69.82,59
30,68.02,55
31,66.76,54
32,66.08,52
33,64.8,52
34,63.17,52
35,62.11,49
36,61.62,48
37,60.55,48
38,58.42,48
39,56.31,48
40,55.23,46
41,53.96,46
42,53.67,42
43,52.94,42
44,52.95,39
45,52.56,39
46,52.1,39
47,51.32,39
48,50.64,39
49,49.58,39
50,47.63,38
51,47.87,38
52,46.7,37
53,46.32,34
54,45.27,34
55,45.22,33
56,44.14,33
57,43.28,33
58,42.74,33
59,43.21,33
60,43.0,33
61,42.13,33
62,42.1,33
63,41.65,33
64,40.79,33
65,40.48,33
66,40.6,33
67,39.42,29
68,38.93,29
69,38.18,28
70,37.68,28
71,37.09,28
72,36.91,28
73,36.86,27
74,35.93,27
75,35.51,26
76,34.63,26
77,34.16,26
78,33.81,24
79,33.32,24
80,32.11,23
81,30.9,22
82,30.97,22
83,31.01,22
84,31.17,22
85,31.4,22
86,31.23,22
87,31.15,22
88,31.02,22
89,31.23,22
90,31.23,22
91,31.24,21
92,31.88,21
93,31.8,21
94,30.74,21
95,30.65,21
96,30.7,21
97,30.93,21
98,30.97,21
99,30.95,21
100,30.73,21
101,30.25,21
102,30.56,21
103,31.11,21
104,31.02,21
105,30.22,21
106,29.54,20
107,29.39,20
108,28.86,18
109,28.29,18
110,27.56,16
111,27.07,16
112,26.78,16
113,26.74,16
114,26.55,16
115,26.3,16
116,25.26,15
117,25.02,15
118,25.97,15
119,25.97,15
120,25.07,15
121,25.02,15
122,24.58,15
123,24.43,15
124,23.96,15
125,24.1,15
126,23.56,15
