Figure: medium_3
File Number: 3
Nodes: 100
Edges: 2524
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.01
Colors Used: 26
Runtime: 5.04

Generation,Average Fitness,Best Fitness
0,100.92,78
1,96.58,78
2,94.32,71
3,92.64,71
4,91.04,71
5,89.63,71
6,90.45,70
7,89.48,70
8,87.22,70
9,85.3,70
10,83.88,62
11,81.82,62
12,82.08,62
13,79.84,62
14,77.81,62
15,75.27,60
16,74.08,60
17,71.95,59
18,69.86,59
19,67.98,57
20,66.29,57
21,64.43,55
22,63.81,55
23,62.68,55
24,61.4,52
25,59.93,50
26,59.12,50
27,58.14,50
28,57.62,50
29,55.97,46
30,55.55,46
31,54.51,46
32,53.45,46
33,52.73,46
34,51.82,44
35,50.6,42
36,49.38,42
37,47.95,39
38,47.17,39
39,46.97,39
40,46.56,39
41,46.07,36
42,45.63,36
43,44.45,33
44,44.02,33
45,42.66,33
46,41.82,33
47,40.71,32
48,39.84,29
49,39.82,29
50,39.09,29
51,39.11,29
52,37.99,28
53,37.49,28
54,36.8,28
55,36.32,28
56,35.17,28
57,34.81,28
58,34.17,27
59,34.42,27
60,34.02,27
61,33.82,26
62,33.58,26
63,33.36,24
64,33.08,24
65,32.75,24
66,32.26,24
67,30.91,24
68,30.4,24
69,29.8,24
70,29.75,22
71,29.3,22
72,28.46,22
73,27.36,22
74,26.9,22
75,25.84,21
76,26.07,21
77,26.62,21
78,26.72,21
79,26.16,21
80,25.75,21
81,25.43,20
82,25.54,20
83,25.56,20
84,25.4,19
85,25.17,19
86,25.02,18
87,24.97,18
88,24.62,18
89,24.7,18
90,24.33,18
91,23.74,18
92,23.93,18
93,23.95,18
94,23.91,18
95,22.92,18
96,23.31,18
97,23.13,17
98,22.6,17
99,22.41,17
100,22.7,16
101,22.87,16
102,23.14,16
103,22.45,16
104,22.09,16
105,21.69,15
106,20.66,15
107,20.75,14
108,20.58,14
109,20.62,14
110,19.87,14
111,19.2,13
112,19.36,13
113,19.21,13
114,18.97,13
115,18.13,12
116,17.98,12
117,17.47,11
118,16.76,11
119,15.97,11
120,16.33,11
121,16.05,10
122,16.29,10
123,16.26,10
124,15.67,10
125,15.25,9
126,15.54,9
127,15.94,9
128,15.13,8
129,14.61,8
130,14.28,8
131,14.01,8
132,14.24,8
133,13.36,8
134,13.1,8
135,13.15,8
136,13.6,8
137,13.51,8
138,13.36,8
139,13.23,7
140,12.91,7
141,12.8,7
142,12.66,7
143,12.2,7
144,11.69,7
145,11.95,7
146,11.52,7
147,11.75,7
148,12.07,7
149,12.41,7
150,12.84,7
151,12.81,7
152,11.88,7
153,11.67,7
154,11.42,7
155,11.71,7
156,12.09,7
157,12.04,7
158,11.74,7
159,11.78,7
160,11.93,7
161,12.07,7
162,11.75,7
163,12.34,7
164,12.3,7
165,12.46,7
166,12.15,7
167,12.09,7
168,11.31,7
169,11.31,7
170,11.64,7
171,11.69,7
172,12.0,7
173,12.42,7
174,12.04,7
175,11.34,6
176,11.5,6
177,11.68,6
178,11.39,6
179,11.69,6
180,11.99,6
181,11.84,6
182,11.7,6
183,11.31,6
184,12.14,6
185,11.42,6
186,11.82,6
187,12.31,6
188,11.99,6
189,12.26,5
190,11.56,5
191,10.95,5
192,10.8,5
193,10.9,5
194,10.85,5
195,11.47,5
196,11.91,5
197,12.15,5
198,11.75,5
199,11.01,5
200,10.9,5
201,10.83,5
202,10.58,5
203,10.54,4
204,9.82,4
205,10.2,4
206,10.07,4
207,9.58,4
208,9.23,4
209,9.5,4
210,9.54,4
211,9.22,4
212,10.02,3
213,9.85,3
214,9.92,3
215,10.0,3
216,10.02,3
217,9.09,3
218,8.83,3
219,9.18,3
220,9.22,3
221,8.88,3
222,9.19,3
223,9.17,3
224,9.4,3
225,9.79,3
226,9.5,3
227,9.28,3
228,9.3,3
229,8.85,3
230,8.16,3
231,8.14,3
232,7.99,3
233,7.96,3
234,8.22,3
235,8.35,3
236,8.59,3
237,8.6,3
238,8.83,3
239,9.15,3
240,9.46,3
241,8.85,3
242,8.79,2
243,8.69,2
244,8.9,2
245,8.7,2
246,8.9,2
247,8.52,2
248,8.35,2
249,9.23,2
250,8.95,2
251,8.86,2
252,8.07,2
253,8.11,2
254,7.48,2
255,8.13,2
256,8.44,2
257,7.94,2
258,8.37,2
259,8.3,2
260,8.22,2
261,8.03,2
262,7.98,2
263,7.6,2
264,7.4,2
265,7.65,2
266,7.03,2
267,6.97,2
268,7.0,2
269,7.12,2
270,7.34,2
271,7.48,2
272,7.23,2
273,7.35,2
274,7.56,2
275,7.5,2
276,6.96,2
277,7.41,2
278,7.92,2
279,6.91,2
280,6.72,2
281,7.42,2
282,7.07,2
283,7.02,2
284,7.43,2
285,7.16,2
286,7.27,2
287,7.83,2
288,7.61,2
289,7.52,2
290,8.12,2
291,8.23,2
292,7.71,2
293,7.27,2
294,7.13,2
295,7.29,2
296,7.06,2
297,7.72,2
298,7.94,2
299,7.73,2
300,7.25,2
301,7.3,2
302,6.86,2
303,7.63,2
304,7.61,2
305,7.21,2
306,6.91,2
307,7.43,2
308,7.24,2
309,6.99,2
310,6.97,2
311,7.26,2
312,7.57,2
313,7.71,2
314,8.29,2
315,8.48,2
316,8.29,2
317,8.45,2
318,9.02,2
319,8.36,2
320,8.63,2
321,7.64,2
322,7.49,2
323,7.95,2
324,7.72,2
325,8.44,2
326,8.21,2
327,8.54,2
328,7.99,2
329,7.95,2
330,7.71,2
331,7.74,2
332,7.67,2
333,7.53,2
334,7.06,2
335,7.08,2
336,6.68,2
337,6.04,2
338,6.12,2
339,6.37,2
340,6.74,2
341,6.41,2
342,6.61,2
343,6.82,2
344,6.98,2
345,7.37,2
346,7.33,2
347,7.46,2
348,7.87,2
349,7.89,2
350,8.1,2
351,8.2,2
352,8.71,2
353,8.73,2
354,8.17,2
355,7.92,2
356,7.49,2
357,7.54,2
358,6.5,2
359,6.31,2
360,6.76,2
361,6.7,2
362,6.7,2
363,6.41,2
364,7.1,2
365,7.16,2
366,7.29,2
367,8.06,2
368,7.61,2
369,7.42,2
370,7.44,2
371,7.65,2
372,7.43,2
373,7.22,2
374,6.74,2
375,6.63,2
376,6.8,2
377,7.26,2
378,6.73,2
379,7.15,2
380,7.04,2
381,7.11,2
382,7.66,2
383,7.53,2
384,8.0,2
385,8.28,2
386,7.82,2
387,7.19,2
388,7.41,2
389,7.5,2
390,7.57,2
391,7.78,2
392,7.59,2
393,7.18,2
394,7.82,2
395,7.87,2
396,7.48,2
397,6.97,2
398,6.86,2
399,6.54,2
400,6.94,2
401,7.3,2
402,7.75,2
403,7.16,2
404,7.37,2
405,7.48,2
406,8.02,2
407,8.63,2
408,8.66,2
409,8.55,2
410,8.32,2
411,8.16,2
412,8.4,2
413,8.06,2
414,7.82,2
415,7.96,2
416,7.76,2
417,7.97,2
418,7.45,2
419,7.78,2
420,8.13,2
421,8.12,2
422,8.47,2
423,7.9,2
424,7.7,2
425,7.58,2
426,7.37,2
427,7.5,2
428,7.74,2
429,7.76,2
430,8.16,2
431,7.61,2
432,7.47,2
433,8.13,2
434,7.49,2
435,7.35,2
436,7.15,2
437,7.15,2
438,7.73,2
439,7.95,2
440,7.43,2
441,6.99,2
442,6.98,2
443,7.01,2
444,6.95,2
445,7.09,2
446,6.54,2
447,6.81,2
448,6.63,2
449,7.75,2
450,7.46,2
451,7.53,2
452,7.53,2
453,7.84,2
454,7.25,2
455,7.0,2
456,7.17,2
457,7.21,2
458,7.39,2
459,7.42,2
460,7.18,2
461,7.58,2
462,7.13,2
463,7.17,2
464,7.87,2
465,7.54,2
466,7.1,2
467,6.93,2
468,7.22,2
469,7.57,2
470,6.92,2
471,7.48,2
472,7.69,2
473,7.58,2
474,7.62,2
475,7.77,2
476,8.24,2
477,8.17,2
478,8.25,2
479,8.38,2
480,8.63,2
481,8.97,2
482,8.49,2
483,8.11,2
484,7.75,2
485,8.26,2
486,7.93,2
487,7.84,2
488,7.19,2
489,6.99,2
490,7.08,2
491,7.02,2
492,7.09,2
493,7.15,2
494,7.07,2
495,7.26,2
496,7.43,2
497,6.98,2
498,7.31,2
499,7.28,2
500,7.62,2
501,7.51,1
502,7.91,1
503,7.09,1
504,7.12,1
505,7.45,1
506,7.46,1
507,7.82,1
508,7.85,1
509,8.16,1
510,7.97,1
511,7.1,1
512,7.64,1
513,7.55,1
514,7.01,1
515,6.76,1
516,7.04,1
517,7.67,1
518,7.76,1
519,7.4,1
520,7.56,1
521,7.35,1
522,6.5,1
523,6.44,1
524,6.91,1
525,6.66,1
526,5.74,1
527,5.62,1
528,5.38,1
529,5.49,1
530,5.57,1
531,5.69,1
532,5.78,1
533,6.28,1
534,6.7,1
535,6.81,1
536,7.49,1
537,7.82,1
538,7.37,1
539,7.21,1
540,7.11,1
541,6.35,1
542,6.46,1
543,6.7,1
544,6.8,1
545,6.08,1
546,5.86,1
547,6.35,1
548,6.5,1
549,6.46,1
550,6.08,1
551,5.7,1
