Figure: medium_4
File Number: 12
Nodes: 100
Edges: 2527
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.01
Colors Used: 26
Runtime: 5.49

Generation,Average Fitness,Best Fitness
0,101.03,81
1,97.33,79
2,94.85,76
3,95.0,76
4,92.98,76
5,90.81,74
6,89.1,71
7,88.35,71
8,85.96,70
9,83.86,67
10,83.16,67
11,81.21,66
12,81.64,63
13,79.52,60
14,76.7,60
15,74.96,58
16,73.11,58
17,69.69,58
18,67.92,55
19,66.74,55
20,65.65,55
21,64.47,54
22,62.95,53
23,61.78,53
24,61.63,51
25,61.19,51
26,58.74,48
27,57.91,47
28,56.41,47
29,54.8,44
30,53.61,44
31,51.69,43
32,50.87,41
33,49.33,41
34,48.26,41
35,47.41,41
36,46.3,40
37,45.53,39
38,44.75,39
39,45.2,39
40,45.4,39
41,44.92,38
42,44.67,38
43,44.22,37
44,43.39,37
45,43.23,37
46,42.4,36
47,41.63,33
48,41.59,33
49,40.76,33
50,40.24,33
51,40.14,33
52,40.25,33
53,40.24,33
54,39.73,33
55,38.57,32
56,38.59,32
57,37.97,32
58,37.28,32
59,36.57,30
60,36.2,30
61,35.53,30
62,35.3,30
63,34.81,30
64,34.53,28
65,34.4,28
66,34.49,27
67,34.24,27
68,33.85,27
69,33.88,27
70,33.51,25
71,33.25,25
72,33.09,25
73,32.73,25
74,32.1,25
75,32.21,25
76,31.88,24
77,31.57,24
78,31.6,24
79,32.14,24
80,31.41,23
81,31.38,23
82,31.18,23
83,30.95,23
84,30.43,23
85,30.6,23
86,29.81,22
87,29.87,22
88,30.19,22
89,29.48,22
90,28.68,22
91,27.61,22
92,26.96,22
93,26.19,21
94,26.39,21
95,26.62,20
96,26.63,20
97,26.11,19
98,25.69,19
99,25.36,19
100,25.01,19
101,24.66,17
102,24.75,17
103,24.89,17
104,24.69,17
105,23.38,17
106,22.71,17
107,22.31,17
108,21.96,17
109,21.86,17
110,21.88,17
111,22.34,17
112,22.25,16
113,21.89,16
114,21.85,16
115,21.77,16
116,21.86,16
117,21.78,16
118,21.53,16
119,21.18,15
120,20.36,15
121,20.51,15
122,20.24,14
123,20.35,14
124,20.41,14
125,20.65,14
126,20.0,14
127,19.97,14
128,20.0,14
129,20.16,14
130,19.82,14
131,19.76,13
132,19.77,13
133,18.98,13
134,19.61,13
135,19.13,13
136,19.09,13
137,18.88,13
138,18.55,12
139,18.16,12
140,17.85,12
141,17.78,11
142,17.2,11
143,17.27,11
144,17.85,11
145,17.8,11
146,16.96,11
147,17.06,11
148,16.79,11
149,16.34,11
150,16.49,10
151,16.39,10
152,16.31,9
153,16.08,9
154,15.98,9
155,15.62,9
156,15.64,9
157,15.55,9
158,15.53,9
159,15.45,9
160,15.67,9
161,15.26,9
162,15.03,9
163,14.78,9
164,14.99,9
165,14.64,9
166,15.05,9
167,14.93,9
168,14.33,9
169,14.44,9
170,13.99,8
171,14.27,8
172,13.56,8
173,14.2,8
174,13.74,8
175,13.42,8
176,13.65,8
177,13.8,8
178,13.69,8
179,13.56,8
180,13.5,8
181,12.85,8
182,12.92,8
183,13.23,8
184,13.06,8
185,13.16,8
186,13.18,8
187,13.47,8
188,13.81,8
189,13.47,8
190,13.01,8
191,13.11,8
192,12.63,8
193,12.71,8
194,13.3,8
195,13.93,8
196,14.21,8
197,14.86,8
198,14.7,7
199,14.34,7
200,14.7,7
201,14.74,7
202,15.0,7
203,15.1,7
204,14.09,7
205,14.59,7
206,14.14,7
207,13.82,7
208,13.58,7
209,13.41,7
210,13.43,7
211,13.8,7
212,13.71,7
213,13.33,7
214,12.89,7
215,12.74,7
216,12.62,7
217,12.82,7
218,12.82,7
219,12.7,7
220,12.1,7
221,12.31,7
222,11.96,7
223,11.83,7
224,11.74,7
225,11.49,7
226,11.38,7
227,11.58,7
228,11.77,7
229,11.32,7
230,11.77,7
231,11.46,7
232,11.53,7
233,11.73,7
234,12.58,7
235,12.68,7
236,12.77,6
237,12.82,6
238,12.87,6
239,13.23,6
240,13.53,6
241,13.52,6
242,13.71,6
243,13.47,6
244,13.76,6
245,14.1,6
246,13.51,6
247,13.24,6
248,13.63,6
249,13.32,6
250,13.0,6
251,12.48,6
252,12.65,5
253,12.71,5
254,12.13,5
255,12.06,5
256,12.04,5
257,11.98,4
258,11.19,4
259,11.18,4
260,11.5,4
261,11.28,4
262,10.7,4
263,11.0,3
264,10.25,3
265,10.05,3
266,10.4,3
267,10.35,3
268,9.86,3
269,8.96,3
270,9.18,2
271,8.7,2
272,8.78,2
273,8.72,2
274,8.48,2
275,8.15,2
276,7.84,2
277,7.8,2
278,7.55,2
279,8.12,2
280,7.94,2
281,8.85,2
282,9.02,2
283,9.14,2
284,9.14,2
285,9.04,2
286,8.28,2
287,8.35,2
288,7.95,2
289,8.38,2
290,8.19,2
291,7.63,2
292,7.36,2
293,8.13,2
294,7.74,2
295,7.81,2
296,8.15,2
297,7.11,2
298,6.99,2
299,6.9,2
300,6.82,2
301,6.95,2
302,6.8,2
303,6.87,2
304,6.56,2
305,7.04,2
306,6.71,2
307,6.35,2
308,6.39,2
309,5.96,2
310,6.4,2
311,6.46,2
312,6.47,2
313,6.56,1
314,7.26,1
315,7.35,1
316,7.19,1
317,7.67,1
318,7.54,1
319,7.63,1
320,7.96,1
321,7.77,1
322,8.18,1
323,7.88,1
324,7.99,1
325,7.66,1
326,7.54,1
327,7.58,1
328,7.4,1
329,7.37,1
330,6.8,1
331,7.75,1
332,7.68,1
333,7.42,1
334,7.47,1
335,7.6,1
336,7.52,1
337,7.3,1
338,7.0,1
339,7.54,1
340,7.32,1
341,7.56,1
342,7.24,1
343,7.55,1
344,6.89,1
345,6.62,1
346,6.35,1
347,6.2,1
348,6.46,1
349,6.83,1
350,7.0,1
351,6.84,1
352,7.05,1
353,6.89,1
354,6.69,1
355,6.82,1
356,6.87,1
357,7.14,1
358,6.46,1
359,6.06,1
360,6.07,1
361,5.74,1
362,6.01,1
363,6.62,1
364,6.73,1
365,7.34,1
366,7.05,1
367,7.32,1
368,7.36,1
369,7.37,1
370,7.38,1
371,7.1,1
372,7.82,1
373,6.79,1
374,6.6,1
375,6.5,1
376,6.39,1
377,6.57,1
378,7.19,1
379,6.89,1
380,7.11,1
381,7.3,1
382,6.8,1
383,6.97,1
384,6.29,1
385,5.63,1
386,5.63,1
387,5.69,1
388,5.61,1
389,5.62,1
390,6.25,1
391,5.94,1
392,5.84,1
393,5.98,1
394,6.27,1
395,6.99,1
396,6.88,1
397,7.01,1
398,6.59,1
399,7.16,1
400,6.3,1
401,5.88,1
402,6.46,1
403,6.78,1
404,6.16,1
405,6.0,1
406,6.31,1
407,6.78,1
408,7.19,1
409,7.24,1
410,6.48,1
411,6.19,1
412,6.22,1
413,6.47,1
414,7.07,1
415,6.24,1
416,5.78,1
417,6.3,1
418,6.23,1
419,6.5,1
420,6.74,1
421,6.49,1
422,6.37,1
423,6.35,1
424,6.54,1
425,6.56,1
426,6.57,1
427,6.4,1
428,6.21,1
429,6.48,1
430,6.93,1
431,6.98,1
432,6.75,1
433,6.68,1
434,6.56,1
435,6.36,1
436,6.4,1
437,6.58,1
438,6.7,1
439,6.65,1
440,6.54,1
441,6.55,1
442,6.11,1
443,5.89,1
444,5.43,1
445,5.51,1
446,5.83,1
447,6.04,1
448,6.06,1
449,6.26,1
450,6.65,1
451,6.55,1
452,7.05,1
453,6.88,1
454,6.86,1
455,6.66,1
456,6.51,1
457,6.94,1
458,6.75,1
459,6.26,1
460,6.17,1
461,5.71,1
462,5.76,1
463,5.34,1
464,5.78,1
465,5.99,1
466,6.62,1
467,6.27,1
468,6.49,1
469,5.89,1
470,5.4,1
471,5.22,1
472,5.59,1
473,5.89,1
474,5.88,1
475,6.39,1
476,5.87,1
477,6.07,1
478,6.48,1
479,6.67,1
480,6.76,1
481,6.96,1
482,6.89,1
483,7.07,1
484,7.33,1
485,7.03,1
486,7.42,1
487,7.1,1
488,7.13,1
489,6.65,1
490,6.81,1
491,6.76,1
492,6.99,1
493,7.32,1
494,7.47,1
495,7.35,1
496,7.55,1
497,7.45,1
498,7.27,1
499,7.65,1
500,7.24,1
501,7.35,1
502,6.95,1
503,7.8,1
504,7.3,1
505,7.05,1
506,7.05,1
507,7.15,1
508,6.91,1
509,6.33,1
510,6.44,1
511,6.58,1
512,6.53,1
513,7.05,1
514,7.05,1
515,6.62,1
516,6.84,1
517,7.22,1
518,6.89,1
519,6.53,1
520,6.2,1
521,5.96,1
522,6.3,1
523,5.98,1
524,6.46,1
525,6.75,1
526,6.53,1
527,6.33,1
528,6.15,1
529,6.43,1
530,5.83,1
531,5.43,1
532,5.62,1
533,6.35,1
534,6.76,1
535,6.96,1
536,6.87,1
537,6.41,1
538,5.7,1
539,5.81,1
540,5.97,1
541,6.13,1
542,5.69,1
543,6.03,1
544,5.66,1
545,6.47,1
546,6.73,1
547,6.65,1
548,6.77,1
549,6.72,1
550,6.94,1
551,6.5,1
552,6.94,1
553,6.79,1
554,6.87,1
555,6.97,1
556,7.35,1
557,7.61,1
558,7.57,1
559,7.39,1
560,7.16,1
561,7.15,1
562,7.15,1
563,7.02,1
564,6.89,1
565,5.87,1
566,6.18,1
567,5.58,1
568,5.73,1
569,7.03,1
570,6.9,1
571,6.7,1
