Figure: small_2
File Number: 1
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 5
Runtime: 0.2901 s

Generation,Average Fitness,Best Fitness
0,35.48,16
1,33.04,16
2,31.5,14
3,29.84,12
4,28.56,12
5,27.08,12
6,26.86,12
7,26.9,12
8,25.16,10
9,23.08,10
10,22.88,10
11,22.44,10
12,22.46,10
13,21.3,8
14,20.42,6
15,18.44,6
16,17.16,6
17,16.32,6
18,14.54,6
19,13.68,6
20,12.3,6
21,10.98,6
22,10.28,4
23,9.18,4
24,8.86,4
25,8.2,4
26,8.14,4
27,7.54,4
28,6.76,4
29,7.14,4
30,6.34,4
31,6.26,4
32,5.78,2
33,6.02,2
34,6.1,2
35,5.78,2
36,5.72,2
37,5.86,2
38,5.34,2
39,4.9,2
40,4.92,2
41,4.44,2
42,4.48,2
43,4.12,2
44,3.68,2
45,3.38,2
46,3.94,2
47,3.6,2
48,3.96,2
49,3.48,2
50,4.16,2
51,4.16,2
52,3.44,2
53,4.06,2
54,3.96,2
55,3.58,2
56,3.74,2
57,3.88,2
58,3.7,2
59,3.58,2
60,3.62,2
61,3.92,2
62,3.8,2
63,4.02,2
64,3.3,2
65,3.1,2
66,3.34,2
67,3.44,2
68,2.98,2
69,3.68,2
70,3.4,2
71,4.02,2
72,4.26,0
