Figure: medium_3
File Number: 43
Nodes: 100
Edges: 2524
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 75
Runtime: 0.44

Generation,Average Fitness,Best Fitness
0,48.42666666666667,22
1,46.54666666666667,22
2,44.0,22
3,42.2,22
4,40.22666666666667,22
5,38.22666666666667,22
6,37.42666666666667,20
7,37.81333333333333,14
8,36.12,12
9,34.76,12
10,33.81333333333333,12
11,31.613333333333333,12
12,31.24,12
13,30.6,12
14,28.533333333333335,6
15,26.48,6
16,24.2,4
17,21.626666666666665,4
18,19.906666666666666,4
19,18.373333333333335,4
20,17.066666666666666,4
21,15.28,4
22,13.613333333333333,4
23,12.146666666666667,2
24,11.106666666666667,2
25,9.76,2
26,8.906666666666666,2
27,8.24,0
