Figure: medium_3
File Number: 19
Nodes: 100
Edges: 2524
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 74
Runtime: 0.63

Generation,Average Fitness,Best Fitness
0,50.52,28
1,47.48,28
2,46.54666666666667,28
3,45.2,28
4,42.946666666666665,24
5,41.42666666666667,22
6,38.77333333333333,22
7,37.85333333333333,22
8,36.22666666666667,20
9,34.733333333333334,18
10,34.92,18
11,33.86666666666667,18
12,32.78666666666667,16
13,32.2,16
14,31.373333333333335,16
15,31.573333333333334,16
16,31.573333333333334,16
17,30.626666666666665,12
18,29.16,12
19,26.773333333333333,12
20,24.96,10
21,24.0,10
22,22.253333333333334,10
23,20.24,6
24,18.773333333333333,6
25,17.04,6
26,15.666666666666666,6
27,14.266666666666667,6
28,13.933333333333334,4
29,13.706666666666667,4
30,12.44,4
31,10.653333333333334,4
32,10.2,4
33,9.52,2
34,9.08,2
35,8.893333333333333,2
36,8.08,2
37,7.2,2
38,6.986666666666666,0
