Figure: medium_3
File Number: 65
Nodes: 100
Edges: 2524
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 70
Runtime: 0.59

Generation,Average Fitness,Best Fitness
0,50.45333333333333,30
1,47.53333333333333,18
2,44.8,18
3,43.17333333333333,16
4,40.586666666666666,16
5,39.74666666666667,16
6,38.88,16
7,37.76,16
8,36.13333333333333,16
9,34.973333333333336,16
10,33.68,16
11,32.28,16
12,32.32,12
13,30.68,12
14,28.426666666666666,12
15,27.586666666666666,12
16,26.69333333333333,10
17,26.04,10
18,24.16,8
19,22.386666666666667,8
20,21.986666666666668,8
21,20.52,6
22,19.706666666666667,4
23,18.68,4
24,17.48,4
25,16.84,4
26,14.6,4
27,13.453333333333333,4
28,12.706666666666667,4
29,11.4,4
30,10.546666666666667,2
31,10.106666666666667,2
32,9.306666666666667,2
33,8.693333333333333,2
34,8.213333333333333,2
35,8.253333333333334,0
