Figure: medium_4
File Number: 14
Nodes: 100
Edges: 2527
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 72
Runtime: 0.58

Generation,Average Fitness,Best Fitness
0,50.12,28
1,47.88,22
2,45.06666666666667,22
3,41.666666666666664,20
4,40.42666666666667,20
5,39.61333333333334,20
6,38.74666666666667,20
7,39.77333333333333,20
8,36.81333333333333,16
9,35.25333333333333,16
10,33.8,14
11,34.04,12
12,31.986666666666668,10
13,31.56,10
14,30.586666666666666,10
15,30.906666666666666,8
16,29.373333333333335,8
17,28.84,8
18,28.186666666666667,8
19,26.346666666666668,8
20,24.88,8
21,22.893333333333334,6
22,21.52,6
23,18.933333333333334,4
24,15.92,4
25,13.946666666666667,4
26,12.426666666666666,4
27,11.56,2
28,9.76,2
29,8.64,2
30,8.266666666666667,2
31,7.733333333333333,2
32,6.946666666666666,0
