Figure: medium_4
File Number: 49
Nodes: 100
Edges: 2527
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 71
Runtime: 0.69

Generation,Average Fitness,Best Fitness
0,50.96,32
1,47.68,30
2,44.053333333333335,28
3,42.36,24
4,41.53333333333333,22
5,40.973333333333336,22
6,39.70666666666666,20
7,39.906666666666666,20
8,37.25333333333333,20
9,36.96,20
10,35.61333333333334,18
11,35.24,18
12,34.8,18
13,33.76,16
14,33.22666666666667,16
15,31.213333333333335,16
16,30.133333333333333,12
17,28.546666666666667,12
18,28.28,12
19,28.773333333333333,12
20,27.68,12
21,26.56,12
22,26.346666666666668,12
23,25.28,12
24,24.026666666666667,12
25,22.386666666666667,10
26,21.14666666666667,10
27,21.626666666666665,10
28,21.12,10
29,20.56,8
30,19.706666666666667,8
31,19.626666666666665,8
32,18.946666666666665,8
33,17.986666666666668,6
34,17.88,6
35,17.506666666666668,6
36,16.64,6
37,16.84,6
38,16.293333333333333,6
39,15.653333333333334,4
40,14.48,4
41,12.466666666666667,4
42,11.306666666666667,4
43,10.306666666666667,0
