Figure: medium_2
File Number: 98
Nodes: 100
Edges: 2467
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 74
Runtime: 0.52

Generation,Average Fitness,Best Fitness
0,48.093333333333334,24
1,45.24,22
2,41.89333333333333,20
3,42.6,18
4,40.986666666666665,18
5,39.50666666666667,18
6,39.053333333333335,18
7,38.08,16
8,36.49333333333333,16
9,34.85333333333333,16
10,33.53333333333333,16
11,32.52,16
12,31.426666666666666,16
13,30.226666666666667,16
14,29.14666666666667,14
15,28.44,14
16,27.106666666666666,14
17,25.493333333333332,14
18,23.64,10
19,21.32,10
20,20.16,8
21,18.253333333333334,8
22,16.946666666666665,8
23,16.013333333333332,8
24,14.773333333333333,6
25,13.92,6
26,13.16,4
27,12.96,4
28,12.013333333333334,4
29,11.24,4
30,10.986666666666666,2
31,10.84,2
32,9.84,2
33,9.533333333333333,0
