Figure: medium_2
File Number: 64
Nodes: 100
Edges: 2467
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 70
Runtime: 0.53

Generation,Average Fitness,Best Fitness
0,50.61333333333334,26
1,46.053333333333335,24
2,43.49333333333333,24
3,43.28,24
4,41.72,22
5,39.64,16
6,37.57333333333333,16
7,36.81333333333333,16
8,35.44,16
9,34.973333333333336,16
10,34.626666666666665,16
11,34.053333333333335,14
12,32.13333333333333,14
13,31.386666666666667,14
14,29.85333333333333,10
15,27.946666666666665,10
16,26.866666666666667,10
17,24.0,8
18,22.12,8
19,22.0,8
20,19.386666666666667,8
21,18.453333333333333,8
22,17.96,8
23,16.28,6
24,15.186666666666667,4
25,13.746666666666666,4
26,13.413333333333334,4
27,12.24,2
28,11.36,2
29,10.333333333333334,2
30,9.56,2
31,9.68,2
32,8.946666666666667,0
