Figure: medium_2
File Number: 81
Nodes: 100
Edges: 2467
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 73
Runtime: 0.36

Generation,Average Fitness,Best Fitness
0,49.06666666666667,24
1,45.28,24
2,43.61333333333334,24
3,41.45333333333333,18
4,41.626666666666665,18
5,39.44,18
6,36.586666666666666,12
7,34.44,10
8,31.24,8
9,27.493333333333332,8
10,24.8,6
11,22.253333333333334,6
12,18.69333333333333,6
13,16.946666666666665,6
14,14.373333333333333,4
15,12.733333333333333,4
16,11.24,4
17,10.706666666666667,4
18,9.573333333333334,4
19,9.16,2
20,8.333333333333334,2
21,7.52,0
