Figure: medium_2
File Number: 6
Nodes: 100
Edges: 2467
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 70
Runtime: 0.37

Generation,Average Fitness,Best Fitness
0,48.85333333333333,22
1,46.22666666666667,18
2,43.04,18
3,39.78666666666667,16
4,37.88,14
5,37.44,14
6,36.32,14
7,35.53333333333333,14
8,32.413333333333334,14
9,29.44,12
10,27.14666666666667,10
11,23.653333333333332,10
12,21.186666666666667,8
13,19.266666666666666,8
14,18.066666666666666,8
15,17.226666666666667,6
16,15.413333333333334,4
17,13.706666666666667,4
18,12.64,2
19,11.933333333333334,2
20,11.453333333333333,2
21,10.36,2
22,8.773333333333333,2
23,8.053333333333333,0
