Figure: medium_1
File Number: 30
Nodes: 100
Edges: 2506
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 76
Runtime: 0.62

Generation,Average Fitness,Best Fitness
0,50.74666666666667,28
1,46.13333333333333,28
2,44.32,20
3,43.266666666666666,20
4,42.28,20
5,41.52,20
6,39.85333333333333,20
7,38.44,20
8,37.946666666666665,18
9,36.693333333333335,18
10,36.413333333333334,16
11,36.56,16
12,34.13333333333333,14
13,31.533333333333335,14
14,30.88,14
15,29.8,14
16,29.85333333333333,12
17,28.64,10
18,26.506666666666668,10
19,25.586666666666666,8
20,24.76,8
21,23.106666666666666,8
22,22.053333333333335,8
23,20.8,8
24,20.733333333333334,8
25,19.32,8
26,18.213333333333335,6
27,16.586666666666666,6
28,15.146666666666667,6
29,14.026666666666667,6
30,13.68,6
31,13.066666666666666,4
32,12.426666666666666,4
33,11.28,4
34,10.413333333333334,2
35,9.453333333333333,2
36,8.666666666666666,2
37,8.453333333333333,2
38,8.346666666666666,0
