Figure: medium_1
File Number: 76
Nodes: 100
Edges: 2506
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 69
Runtime: 0.40

Generation,Average Fitness,Best Fitness
0,49.306666666666665,24
1,45.22666666666667,24
2,42.89333333333333,22
3,41.46666666666667,22
4,39.24,18
5,38.93333333333333,16
6,35.18666666666667,16
7,33.626666666666665,14
8,31.92,14
9,30.28,14
10,27.85333333333333,14
11,26.773333333333333,14
12,25.16,14
13,24.013333333333332,12
14,23.213333333333335,12
15,22.466666666666665,12
16,21.85333333333333,8
17,20.6,8
18,19.24,8
19,17.586666666666666,8
20,16.44,6
21,15.813333333333333,6
22,14.52,4
23,13.666666666666666,0
