Figure: medium_1
File Number: 75
Nodes: 100
Edges: 2506
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 75
Runtime: 0.55

Generation,Average Fitness,Best Fitness
0,50.52,28
1,45.2,26
2,42.906666666666666,22
3,40.973333333333336,20
4,39.86666666666667,16
5,38.12,16
6,38.906666666666666,16
7,37.986666666666665,16
8,36.49333333333333,16
9,36.013333333333335,16
10,34.36,16
11,32.88,16
12,31.266666666666666,16
13,30.373333333333335,16
14,30.08,12
15,28.16,12
16,27.96,12
17,26.56,10
18,24.813333333333333,10
19,24.933333333333334,10
20,24.786666666666665,10
21,23.866666666666667,10
22,22.533333333333335,8
23,21.68,8
24,20.08,8
25,18.8,6
26,17.986666666666668,6
27,16.666666666666668,4
28,15.506666666666666,4
29,13.866666666666667,2
30,12.893333333333333,2
31,12.306666666666667,2
32,11.373333333333333,0
