Figure: small_5
File Number: 9
Nodes: 36
Edges: 580
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.01
Colors Used: 8
Runtime: 0.42

Generation,Average Fitness,Best Fitness
0,82.96,60
1,80.34,56
2,76.4,56
3,71.68,46
4,71.4,46
5,69.56,46
6,68.2,46
7,67.46,46
8,64.22,46
9,62.64,44
10,62.16,40
11,62.12,40
12,61.44,40
13,59.6,40
14,58.06,40
15,54.2,38
16,51.44,38
17,49.96,36
18,47.5,32
19,46.26,32
20,43.86,26
21,39.96,26
22,36.9,20
23,34.32,20
24,32.4,20
25,29.32,20
26,27.2,20
27,25.72,20
28,24.16,20
29,23.12,18
30,22.06,18
31,21.86,18
32,22.22,18
33,21.88,18
34,21.66,18
35,21.5,18
36,21.42,18
37,21.24,18
38,20.2,18
39,20.22,16
40,20.02,16
41,20.02,16
42,20.18,16
43,19.38,16
44,18.8,16
45,19.34,16
46,18.26,16
47,18.66,16
48,18.28,16
49,18.5,16
50,17.78,16
51,17.52,16
52,17.8,16
53,17.62,16
54,17.36,16
55,17.42,16
56,18.0,16
57,17.6,16
58,17.76,16
59,17.22,16
60,17.58,16
61,18.16,16
62,17.54,16
63,17.94,16
64,18.16,16
65,18.08,16
66,17.62,16
67,17.98,16
68,17.74,14
69,17.56,14
70,17.66,14
71,17.58,14
72,17.1,14
73,17.06,14
74,16.88,14
75,16.24,14
76,15.7,14
77,15.74,14
78,15.6,14
79,16.18,14
80,16.56,14
81,16.42,14
82,15.92,14
83,16.02,14
84,15.94,14
85,16.14,14
86,16.14,14
87,15.66,14
88,15.34,14
89,15.38,14
90,15.8,14
91,15.7,14
92,16.22,14
93,16.34,14
94,15.52,14
95,15.08,14
96,15.46,14
97,15.04,14
98,15.62,14
99,16.04,14
100,16.36,14
101,15.84,14
102,15.84,14
103,16.0,14
104,16.64,14
105,16.42,14
106,16.34,14
107,15.68,14
108,15.48,14
109,16.0,14
110,16.36,14
111,15.82,14
112,15.86,14
113,15.72,14
114,15.74,14
115,15.56,14
116,16.04,14
117,15.8,14
118,15.78,14
119,15.3,14
120,16.38,14
121,15.78,14
122,15.7,14
123,15.5,14
124,15.74,14
125,15.74,14
126,15.76,14
127,15.42,14
128,15.84,14
129,16.14,14
130,15.42,14
131,15.72,14
132,15.8,14
133,16.36,14
134,16.32,14
135,16.02,14
136,16.26,14
137,16.18,14
138,15.94,14
139,16.16,14
140,16.14,14
141,16.08,14
142,15.6,14
143,16.36,14
144,16.18,14
145,16.38,14
146,15.44,14
147,16.14,14
148,15.84,14
149,16.4,14
150,16.4,14
151,16.0,14
152,15.72,14
153,16.06,14
154,16.18,14
155,16.42,14
156,16.02,14
157,16.04,14
158,15.82,14
159,15.86,14
160,15.94,14
161,15.54,14
162,15.84,14
163,15.56,14
164,15.68,14
165,15.44,14
166,15.6,14
167,15.4,12
168,15.34,12
169,15.94,12
170,15.68,12
171,15.78,12
172,15.88,12
173,15.58,12
174,15.3,12
175,15.42,12
176,15.38,12
177,15.6,12
178,15.96,12
179,15.16,12
180,15.06,12
